Test Function,Algorithm,Trial,Best Score,Time (s)
Sphere,Firefly,30,3.1624246923826696e-05,0.312858
Sphere,Firefly,31,1.0453439712015723e-05,0.332071
Sphere,Firefly,32,8.673633774360273e-06,0.372197
Sphere,Firefly,33,3.8859292737800734e-06,0.322723
Sphere,Firefly,34,3.066683944234841e-07,0.294771
Sphere,Firefly,35,1.9680707287924387e-06,0.304982
Sphere,Firefly,36,3.722228683475428e-05,0.290108
Sphere,Firefly,37,2.138631573694156e-05,0.310261
Sphere,Firefly,38,1.000469962306619e-05,0.361888
Sphere,Firefly,39,5.136861194173641e-06,0.387102
Sphere,Firefly,40,9.726476342581836e-08,0.339947
Sphere,Firefly,41,1.198084406212665e-05,0.299790
Sphere,Firefly,42,9.843348177900172e-06,0.313262
Sphere,CuckooSearch,22,3.306041155244288e-05,0.073483
Sphere,CuckooSearch,23,0.00022406700637719803,0.057589
Sphere,CuckooSearch,24,1.5183030487521386e-06,0.049445
Sphere,CuckooSearch,25,1.5922002660746658e-05,0.052453
Sphere,CuckooSearch,26,8.138688534572006e-05,0.068382
Sphere,CuckooSearch,27,4.528412306680698e-06,0.050168
Sphere,CuckooSearch,28,0.0002276696338818003,0.051945
Sphere,CuckooSearch,29,6.244533427087486e-06,0.049953
Sphere,CuckooSearch,30,2.7733050993740975e-05,0.058832
Sphere,CuckooSearch,31,2.306920109195451e-05,0.055286
Sphere,CuckooSearch,32,1.0874187829476539e-05,0.058934
Sphere,CuckooSearch,33,4.5013861694653644e-05,0.066887
Sphere,CuckooSearch,34,1.7681487997577137e-05,0.085146
Sphere,CuckooSearch,35,0.00022442374968173015,0.049955
Sphere,CuckooSearch,36,6.092903731081375e-05,0.049836
Sphere,CuckooSearch,37,0.0008610358899073594,0.048178
Sphere,CuckooSearch,38,1.882170456085557e-05,0.046946
Sphere,CuckooSearch,39,1.828239966491955e-05,0.049771
Sphere,CuckooSearch,40,1.1559951340645592e-07,0.060034
Sphere,CuckooSearch,41,1.0444058643819097e-05,0.049916
Sphere,CuckooSearch,42,0.0005113539649119837,0.050098
